Event number,Number of tracks,Notes,,,
228,1,,,,
229,0,,,,
230,3,,,,
231,0,,,,
232,0,,,,
233,2,,,,
234,0,,,,
235,2,,,,
236,1,,,,
237,0,,,,
238,2,really weird/hard to tell,,,
239,0,,,,
240,0,,,,
241,0,,,,
242,3,,,,
243,2,,,,
244,1,,,,
245,0,,,,
246,1,,,,
247,2,,,,
248,0,,,,
249,0,,,,
250,1,,,,
251,0,,,,
252,2,,,,
253,0,,,,
254,0,,,,
255,3,very hard,,,
256,5,,,,
257,4,,,,
258,3,,,,
259,0,,,,
260,3,,,,
261,3,broken,,,
262,3,,,,
263,0,,,,
264,2,,,,
265,0,,,,
266,0,,,,
267,0,,,,
268,2,,,,
269,0,,,,
270,2,,,,
271,0,,,,
272,0,,,,
273,3,,,,
274,0,,,,
275,2,but one is subtle,,,
276,0,,,,
277,0,,,,
278,0,,,,
279,1,,,,
280,0,,,,
281,2,,,,
282,0,,,,
283,1,but it's scant,,,
284,0,,,,
285,2,6/16,,,
286,2,,,,
287,2,,,,
288,1,,,,
289,2,short lads,,,
290,0,,,,
291,3,,,,
292,0,,,,
293,3,one is iffy,,,
294,0,,,,
295,0,,,,
296,2,6/16,,,
297,5,only possible to tell from one angle,,,
298,0,almost 2,,,
299,0,almost 2,,,
300,0,,,,
301,3,,,,
302,1,,,,
303,2,,,,
304,2,,,,
305,0,,,,
306,0,,,,
307,0,,,,
308,0,,,,
309,0,,,,
310,2,,,,
311,0,,,,
312,0,,,,
313,3,a bit hard to tell,,,
314,0,,,,
315,0,,,,
316,1,,,,
317,0,,,,
318,1,,,,
319,0,,,,
320,2,,,,
321,2,very messy,,,
322,1,,,,
323,2,,,,
324,3,,,,
325,0,,,,
326,0,,,,
327,2,,,,
328,0,,,,
329,2,6/16,,,
330,3,really hard to tell,,,
331,2,6/16,,,
332,3,,,,
333,0,,,,
334,0,,,,
335,0,,,,
336,2,6/16,,,
337,0,,,,
338,3,,,,
339,2,,,,
340,2,one is short,,,
341,2,,,,
342,0,,,,
343,1,,,,
344,0,,,,
345,0,big clump that could be one or four or something who knows,,,
346,0,,,,
347,0,,,,
348,2,they are pretty broken though,,,
349,3,,,,
350,2,6/16,,,
351,0,,,,
352,2,6/16,,,
353,0,,,,
354,1,,,,
355,0,,,,
356,4,"three, and then one breaks into two near the end. pretty cool. does this count as four or five?",,,
357,1,,,,
358,3,,,,
359,1,,,,
360,3,absolutely beautiful omg science is so beautiful ,,,
361,2,,,,
362,2,6/16,,,
363,3,,,,
364,0,,,,
365,3,,,,
366,3,quite short,,,
367,0,,,,
368,2,6/16,,,
369,0,,,,
370,2,very short,,,
371,0,,,,
372,3,,,,
373,3,,,,
374,3,one is clumpy,,,
375,0,,,,
376,2,,,,
377,0,,,,
378,0,,,,
379,1,,,,
380,1,,,,
381,2,,,,
382,0,,,,
383,0,,,,
384,1,,,,
385,3,,,,
386,0,,,,
387,0,almost 2,,,
388,2,,,,
389,0,,,,
390,3,very short,,,
391,0,,,,
392,1,,,,
393,1,,,,
394,2,super short,,,
395,2,,,,
396,3,,,,
397,0,,,,
398,2,,,,
399,3,,,,
400,2,,,,
401,2,,,,
402,0,,,,
403,2,,,,
404,2,,,,
405,0,,,,
406,2,,,,
407,0,,,,
408,2,6/16?,,,
409,2,6/16?,,,
410,0,,,,
411,0,,,,
412,2,,,,
413,2,6/16,,,
414,0,,,,
415,0,,,,
416,0,almsot 2,,,
417,2,6/16?,,,
418,2,,,,
419,0,,,,
420,2,,,,
421,0,,,,
422,0,,,,
423,0,,,,
424,2,6/16,,,
425,3,babies,,,
426,2,6/16,,,
427,5,,,,
428,3,,,,
429,3,,,,
430,2,,,,
431,3,,,,
432,0,,,,
433,3,,,,
434,1,,,,
435,2,,,,
436,3,babies,,,
437,2,,,,
438,2,,,,
439,0,,,,
440,2,,,,
441,3,,,,
442,0,,,,
443,3,,,,
444,0,,,,
445,0,,,,
446,0,,,,
447,0,,,,
448,4,,,,
449,5,,,,
450,0,,,,
451,5,,,,
452,3,,,,
453,2,,,,
454,2,,,,
455,0,,,,
456,2,,,,
457,3,,,,
458,1,,,,
459,0,,,,
460,1,,,,
461,0,,,,
462,5,,,,
463,0,,,,
464,0,,,,
465,2,,,,
466,0,,,,
467,2,6/16?,,,
468,3,one is very thin,,,
469,0,,,,
470,0,,,,
471,2,6/16,,,
472,2,,,,
473,2,,,,
474,0,,,,
475,0,,,,
476,0,,,,
477,2,,,,
478,0,,,,
479,3,,,,
480,2,tricky,,,
481,0,,,,
482,0,,,,
483,2,6/16,,,
484,1,,,,
485,0,,,,
486,0,almost 2,,,
487,0,,,,
488,0,,,,
489,0,,,,
490,0,,,,
491,3,very short,,,
492,3,,,,
493,2,,,,
494,2,,,,
495,0,,,,
496,1,not great,,,
497,1,,,,
498,0,,,,
499,2,6/16?,,,
500,3,two and then one breaks into two,,,
501,2,6/16,,,
502,0,,,,
503,0,,,,
504,0,,,,
505,0,,,,
506,0,,,,
507,1,there's totally a second but it's so short,,,
508,3,garbage-- so short,,,
509,0,almost 6/16,,,
510,2,6/16,,,
511,0,,,,
512,0,,,,
513,0,,,,
514,0,,,,
515,2,so short,,,
516,2,6/16,,,
517,0,,,,
518,3,,,,
519,0,,,,
520,0,,,,
521,3,,,,
522,0,,,,
523,0,almost 6/16,,,
524,0,,,,
525,1,,,,
526,2,could be three? messy,,,
527,2,one is very thin,,,
528,2,,,,
529,1,,,,
530,0,,,,
531,3,,,,
532,0,,,,
533,1,,,,
534,3,very short,,,
535,2,6/16,,,
536,2,one is ghostly,,,
537,0,,,,
538,2,,,,
539,3,,,,
540,2,6/16,,,
541,3,,,,
542,2,probably,,,
543,0,,,,
544,0,,,,
545,3,,,,
546,0,,,,
547,0,,,,
548,1,,,,
549,3,,,,
550,0,,,,
551,3,,,,
552,3,,,,
553,3,,,,
554,2,6/16,,,
555,1,,,,
556,0,,,,
557,0,,,,
558,0,,,,
559,0,,,,
560,3,,,,
561,0,,,,
562,0,,,,
563,3,hard to tell,,,
564,2,,,,
565,2,,,,
566,3,,,,
567,3,,,,
568,2,,,,
569,0,,,,
570,1,,,,
571,0,,,,
572,2,horrible second track,,,
573,1,,,,
574,0,,,,
575,2,really obscure,,,
576,1,,,,
577,2,,,,
578,2,,,,
579,3,,,,
580,0,,,,
581,2,6/16,,,
582,2,very short,,,
583,3,,,,
584,0,,,,
585,0,,,,
586,0,,,,
587,2,6/16?,,,
588,0,,,,
589,3,awesome,,,
590,0,,,,
591,0,,,,
592,0,,,,
593,1,,,,
594,0,,,,
595,2,,,,
596,0,,,,
597,0,,,,
598,0,,,,
599,3,third is very broken,,,
600,0,,,,
601,0,,,,
602,0,,,,
603,0,,,,
604,3,,,,
605,2,6/16,,,
606,2,,,,
607,2,,,,
608,0,,,,
609,2,,,,
610,2,,,,
611,0,,,,
612,0,,,,
613,0,,,,
614,0,,,,
615,0,,,,
616,0,,,,
617,0,,,,
618,1,,,,
619,2,,,,
620,0,,,,
621,1,,,,
622,3,,,,
623,0,,,,
624,2,,,,
625,2,6/16,,,
626,3,,,,
627,0,,,,
628,5,,,,
629,2,6/16,,,
630,3,,,,
631,3,,,,
632,3,,,,
633,3,,,,
634,0,,,,
635,2,,,,
636,2,one is drastically broken into 2 parts,,,
637,4,very short,,,
638,0,,,,
639,0,,,,
640,3,,,,
641,3,,,,
642,1,,,,
643,0,,,,
644,2,,,,
645,2,,,,
646,0,,,,
647,2,,,,
648,0,,,,
649,2,,,,
650,3,,,,
651,0,,,,
652,0,,,,
653,3,,,,
654,2,far apart,,,
655,0,,,,
656,0,,,,
657,3,,,,
658,0,,,,
659,0,,,,
660,0,,,,
661,2,,,,
662,0,,,,
663,2,6/16,,,
664,0,,,,
665,0,,,,
666,0,,,,
667,3,,,,
668,0,,,,
669,3,,,,
670,3,could be 2,,,
671,2,,,,
672,0,,,,
673,2,,,,
674,2,,,,
675,0,,,,
676,0,,,,
677,2,6/16,,,
678,0,,,,
679,0,,,,
680,0,,,,
681,0,,,,
682,3,,,,
683,0,,,,
684,0,,,,
685,0,,,,
686,0,,,,
687,0,,,,
688,2,questionable,,,
689,2,,,,
690,3,,,,
691,0,,,,
692,0,,,,
693,2,,,,
694,0,,,,
695,2,weird,,,
696,0,,,,
697,0,,,,
698,2,,,,
699,4,,,,
700,3,,,,
701,3,,,,
702,0,,,,
703,3,,,,
704,3,,,,
705,3,one is very short,,,
706,2,ghostly,,,
707,3,,,,
708,0,,,,
709,0,,,,
710,2,baby track/ 6/16?,,,
711,0,,,,
712,5,,,,
713,2,,,,
714,1,,,,
715,2,6/16?,,,
716,5,one is very thin,,,
717,0,,,,
718,0,,,,
719,0,,,,
720,0,bad two example,,,
721,3,,,,
722,1,maybe,,,
723,1,,,,
724,1,,,,
725,2,6/16,,,
726,0,,,,
727,0,,,,
728,0,,,,
729,0,,,,
730,4,very short and two are super close together,,,
731,3,,,,
732,5,two are short and close together,,,
733,0,,,,
734,0,,,,
735,0,,,,
736,3,,,,
737,0,,,,
738,0,,,,
739,0,,,,
740,0,,,,
741,2,,,,
742,3,hard to tell third,,,
743,3,hard to tell third,,,
744,2,,,,
745,0,,,,
746,2,6/16,,,
747,0,,,,
748,1,,,,
749,0,,,,
750,2,based on Yassid's response  6/16,,,
751,2,,,,
752,0,,,,
753,0,,,,
754,0,,,,
755,2,,,,
756,0,,,,
757,0,,,,
758,2,,,,
759,0,,,,
760,3,,,,
761,0,,,,
762,2,,,,
763,2,6/16,,,
764,3,,,,
765,0,,,,
766,2,6/16,,,
767,3,,,,
768,1,,,,
769,2,6/16,,,
770,2,,,,
771,3,,,,
772,1,,,,
773,0,,,,
774,1,,,,
775,1,,,,
776,2,,,,
777,2,not sure,,,
778,0,,,,
779,2,,,,
780,1,,,,
781,1,,,,
782,0,,,,
783,3,,,,
784,0,,,,
785,2,,,,
786,2,6/16,,,
787,2,,,,
788,1,,,,
789,2,,,,
790,0,,,,
791,0,,,,
792,2,,,,
793,0,,,,
794,0,,,,
795,2,,,,
796,0,,,,
797,0,,,,
798,0,,,,
799,0,,,,
800,0,,,,
801,5,small fifth,,,
802,0,,,,
803,3,there could be a fifth,,,
804,0,,,,
805,3,,,,
806,0,,,,
807,3,,,,
808,1,,,,
809,3,,,,
810,2,,,,
811,4,,,,
812,2,,,,
813,3,shorties,,,
814,2,,,,
815,0,,,,
816,2,,,,
817,2,,,,
818,2,,,,
819,0,kind of 2 6/17,,,
820,2,,,,
821,0,,,,
822,2,6/16,,,
823,2,,,,
824,0,,,,
825,0,,,,
826,2,6/16,,,
827,3,,,,
828,2,,,,
829,2,,,,
830,0,,,,
831,0,6/17,,,
832,0,,,,
833,2,6/16?,,,
834,0,,,,
835,2,small second,,,
836,3,,,,
837,1,,,,
838,0,,,,
839,0,,,,
840,4,small fourth and almost a fifth maybe,,,
841,0,,,,
842,0,,,,
843,1,,,,
844,0,,,,
845,2,,,,
846,0,,,,
847,0,,,,
848,0,,,,
849,0,,,,
850,0,,,,
851,2,6/16,,,
852,0,,,,
853,2,,,,
854,3,if you scrutinize,,,
855,2,big clump which could be multiple,,,
856,0,,,,
857,2,,,,
858,0,,,,
859,1,,,,
860,0,,,,
861,3,,,,
862,0,,,,
863,0,,,,
864,2,,,,
865,2,,,,
866,0,,,,
867,2,6/16,,,
868,2,6/16,,,
869,2,,,,
870,0,,,,
871,0,,,,
872,0,,,,
873,3,,,,
874,1,one decent track and then 6/17?,,,
875,2,,,,
876,3,,,,
877,5,but two are really close together so it's hard to tell,,,
878,0,6/17,,,
879,2,,,,
880,0,,,,
881,2,,,,
882,2,,,,
883,2,,,,
884,3,,,,
885,3,,,,
886,2,,,,
887,0,,,,
888,2,,,,
889,3,could be more,,,
890,4,hard to tell,,,
891,1,,,,
892,0,,,,
893,2,,,,
894,3,,,,
895,4,,,,
896,0,,,,
897,0,,,,
898,2,,,,
899,0,,,,
900,2,maybe,,,
901,0,,,,
902,2,,,,
903,0,,,,
904,0,,,,
905,3,,,,
906,4,,,,
907,2,6/16,,,
908,0,,,,
909,2,,,,
910,1,,,,
911,1,,,,
912,0,,,,
913,3,light third,,,
914,0,,,,
915,0,,,,
916,0,,,,
917,0,,,,
918,3,,,,
919,0,,,,
920,2,,,,
921,3,,,,
922,0,,,,
923,2,,,,
924,2,,,,
925,0,,,,
926,0,,,,
927,2,,,,
928,4,,,,
929,2,,,,
930,0,,,,
931,0,,,,
932,0,,,,
933,3,,,,
934,0,,,,
935,3,,,,
936,2,,,,
937,3,Beautiful,,,
938,0,,,,
939,2,,,,
940,1,unsure,,,
941,0,,,,
942,0,,,,
943,3,,,,
944,0,,,,
945,3,,,,
946,0,,,,
947,0,,,,
948,2,,,,
949,2,,,,
950,2,,,,
951,2,6/16,,,
952,0,,,,
953,2,,,,
954,0,,,,
955,0,,,,
956,0,,,,
957,0,,,,
958,0,,,,
959,1,,,,
960,0,,,,
961,3,,,,
962,0,,,,
963,0,,,,
964,2,maybe a third?,,,
965,0,,,,
966,1,,,,
967,0,,,,
968,3,,,,
969,0,,,,
970,0,,,,
971,0,,,,
972,0,,,,
973,0,,,,
974,0,,,,
975,3,,,,
976,2,,,,
977,0,,,,
978,0,,,,
979,0,,,,
980,2,,,,
981,3,,,,
982,0,,,,
983,0,,,,
984,2,,,,
985,5,,,,
986,0,,,,
987,1,,,,
988,3,,,,
989,0,,,,
990,0,,,,
991,3,,,,
992,2,6/16,,,
993,0,,,,
994,0,,,,
995,2,maybe a small third,,,
996,0,,,,
997,3,,,,
998,0,,,,
999,0,,,,
1000,5,,,,
1001,2,6/16,,,
1002,1,,,,
1003,0,,,,
1004,0,,,,
1005,0,,,,
1006,2,6/16,,,
1007,0,,,,
1008,0,,,,
1009,2,,,,
1010,2,6/16?,,,
1011,0,,,,
1012,0,,,,
1013,0,,,,
1014,0,,,,
1015,1,,,,
1016,0,,,,
1017,3,,,,
1018,0,,,,
1019,0,,,,
1020,1,,,,
1021,2,,,,
1022,0,,,,
1023,3,,,,
1024,0,,,,
1025,0,,,,
1026,3,,,,
1027,2,6/16,,,
1028,2,,,,
1029,2,,,,
1030,2,,,,
1031,2,,,,
1032,0,,,,
1033,0,,,,
1034,1,,,,
1035,2,6/16,,,
1036,2,6/16,,,
1037,0,,,,
1038,0,,,,
1039,2,,,,
1040,1,,,,
1041,2,,,,
1042,1,,,,
1043,0,,,,
1044,0,,,,
1045,3,,,,
1046,2,6/16?,,,
1047,2,6/16,,,
1048,2,,,,
1049,0,what is thatttttt? like the whole pad?,,,
1050,0,,,,
1051,2,6/16,,,
1052,0,,,,
1053,0,,,,
1054,0,,,,
1055,2,,,,
1056,0,,,,
1057,0,,,,
1058,2,,,,
1059,1,,,,
1060,0,,,,
1061,1,,,,
1062,2,6/16,,,
1063,0,,,,
1064,2,6/16,,,
1065,3,,,,
1066,0,,,,
1067,2,,,,
1068,2,questionable,,,
1069,0,,,,
1070,0,,,,
1071,3,light third,,,
1072,0,,,,
1073,2,,,,
1074,0,,,,
1075,2,6/16,,,
1076,0,,,,
1077,0,,,,
1078,2,,,,
1079,2,,,,
1080,3,,,,
1081,0,,,,
1082,1,,,,
1083,0,,,,
1084,2,,,,
1085,0,,,,
1086,2,6/16,,,
1087,0,,,,
1088,0,,,,
1089,0,,,,
1090,1,,,,
1091,3,maybe a fourth,,,
1092,2,,,,
1093,1,,,,
1094,2,6/16,,,
1095,3,,,,
1096,0,,,,
1097,0,,,,
1098,0,,,,
1099,2,,,,
1100,0,,,,
1101,0,,,,
1102,0,,,,
1103,0,,,,
1104,0,,,,
1105,0,,,,
1106,0,,,,
1107,0,,,,
1108,0,,,,
1109,2,6/16,,,
1110,3,,,,
1111,0,,,,
1112,2,6/16,,,
1113,2,,,,
1114,2,,,,
1115,0,,,,
1116,2,,,,
1117,3,,,,
1118,0,,,,
1119,0,,,,
1120,0,,,,
1121,0,,,,
1122,0,,,,
1123,0,,,,
1124,2,6/16,,,
1125,1,,,,
1126,2,really light second,,,
1127,2,,,,
1128,0,,,,
1129,2,,,,
1130,0,,,,
1131,0,,,,
1132,3,,,,
1133,0,,,,
1134,2,6/16,,,
1135,0,,,,
1136,0,,,,
1137,1,,,,
1138,0,,,,
1139,2,,,,
1140,3,,,,
1141,2,,,,
1142,2,,,,
1143,2,,,,
1144,3,,,,
1145,1,hard to tell. there could be more,,,
1146,0,,,,
1147,0,,,,
1148,2,I'm thiking that one is severely broken because it looks like 3,,,
1149,2,,,,
1150,0,,,,
1151,0,,,,
1152,0,,,,
1153,0,,,,
1154,0,,,,
1155,2,,,,
1156,2,,,,
1157,2,6/16,,,
1158,0,,,,
1159,0,,,,
1160,0,,,,
1161,1,,,,
1162,2,,,,
1163,1,,,,
1164,5,,,,
1165,2,,,,
1166,0,looks like 2 but there are a lot of smaller events like this that have been givena  0 label,,,
1167,0,,,,
1168,0,,,,
1169,1,,,,
1170,0,,,,
1171,0,,,,
1172,0,,,,
1173,0,,,,
1174,0,,,,
1175,2,6/16,,,
1176,2,,,,
1177,2,6/16,,,
1178,2,,,,
1179,0,,,,
1180,2,6/16,,,
1181,3,one breaking into two sooo...?,,,
1182,2,suuuper short,,,
1183,0,been calling these zeroes (like 1166),,,
1184,0,,,,
1185,0,,,,
1186,1,,,,
1187,2,6/16,,,
1188,2,,,,
1189,2,,,,
1190,0,,,,
1191,0,,,,
1192,0,,,,
1193,3,questionable-- veeery short,,,
1194,2,6/16,,,
1195,2,,,,
1196,2,,,,
1197,2,6/16,,,
1198,3,,,,
1199,2,,,,
1200,3,very messed up,,,
1207,3,,,,
1221,4,,,,
1235,3,,,,
1240,3,,,,
1244,5,two are close together,,,
1298,5,,,,
1307,4,,,,
1322,5,,,,
1337,4,hard to tell,,,
1345,4,really broken track,,,
1354,5,,,,
1384,5,,,,
1400,2,,,,
1401,2,,,,
1402,0,,,,
1403,2,6/16,,,
1404,0,,,,
1405,0,,,,
1406,0,,,,
1407,2,6/16,,,
1408,0,,,,
1409,4,maybe a light fifth,,,
1410,0,,,,
1411,0,,,,
1412,2,,,,
1413,3,,,,
1414,2,,,,
1415,0,,,,
1416,2,,,,
1417,0,,,,
1418,0,,,,
1419,0,,,,
1420,0,,,,
1421,2,6/16,,,
1422,0,,,,
1423,0,,,,
1424,3,,,,
1425,0,,,,
1426,2,,,,
1427,1,possible very thin second and third,,,
1428,0,,,,
1429,3,short,,,
1430,0,,,,
1431,3,tracks are tiny,,,
1432,3,one is very short,,,
1433,0,,,,
1434,0,,,,
1435,2,,,,
1436,3,,,,
1437,3,extremely short,,,
1438,3,,,,
1439,2,,,,
1440,0,,,,
1441,0,,,,
1442,2,,,,
1443,0,,,,
1444,2,suuuper light,,,
1445,0,,,,
1446,2,,,,
1447,0,,,,
1448,0,almost 2,,,
1449,3,,,,
1450,0,,,,
1451,0,,,,
1452,0,,,,
1453,0,,,,
1454,2,,,,
1455,0,,,,
1456,0,,,,
1457,0,,,,
1458,0,,,,
1459,2,,,,
1460,2,,,,
1461,1,,,,
1462,2,one is very light,,,
1463,0,,,,
1464,3,,,,
1465,0,,,,
1466,0,,,,
1467,0,,,,
1468,2,,,,
1469,0,,,,
1470,0,,,,
1471,0,,,,
1472,2,6/16,,,
1473,0,,,,
1474,0,,,,
1475,0,,,,
1476,2,,,,
1477,0,,,,
1478,0,,,,
1479,3,,,,
1480,1,,,,
1481,0,,,,
1482,4,,,,
1483,3,,,,
1484,0,,,,
1485,3,third is light,,,
1486,0,,,,
1487,2,6/16,,,
1488,0,,,,
1489,3,,,,
1490,0,,,,
1491,1,,,,
1492,1,,,,
1493,0,,,,
1494,0,,,,
1495,0,,,,
1496,0,,,,
1497,2,6/16,,,
1498,2,6/16,,,
1499,0,,,,
1500,2,not sure how to label this,,,
1501,2,6/16,,,
1502,2,,,,
1503,0,,,,
1504,2,,,,
1505,3,,,,
1506,0,,,,
1507,0,,,,
1508,0,,,,
1509,0,,,,
1510,3,,,,
1511,0,,,,
1512,4,baby tracks,,,
1513,0,,,,
1514,2,6/16,,,
1515,0,,,,
1516,2,,,,
1517,0,,,,
1518,0,,,,
1519,3,,,,
1520,0,,,,
1521,2,,,,
1522,0,,,,
1523,0,,,,
1524,0,,,,
1525,2,light,,,
1526,3,,,,
1527,2,6/16,,,
1528,4,questionable,,,
1529,0,,,,
1530,0,,,,
1531,2,,,,
1532,0,,,,
1533,2,,,,
1534,0,,,,
1535,0,,,,
1536,0,,,,
1537,0,,,,
1538,0,,,,
1539,0,,,,
1540,0,,,,
1541,0,,,,
1542,4,,,,
1543,2,6/16,,,
1544,0,,,,
1545,0,,,,
1546,0,,,,
1547,0,,,,
1548,2,,,,
1549,1,,,,
1550,2,,,,
1551,2,,,,
1552,3,very broken,,,
1553,0,,,,
1554,2,,,,
1555,0,,,,
1556,0,,,,
1557,0,,,,
1558,2,6/16,,,
1559,0,,,,
1560,2,,,,
1561,0,,,,
1562,0,,,,
1563,3,,,,
1564,0,,,,
1565,3,,,,
1566,2,second is light,,,
1567,2,,,,
1568,0,,,,
1569,0,,,,
1570,0,,,,
1571,0,,,,
1572,0,,,,
1573,0,,,,
1574,0,,,,
1575,3,,,,
1576,3,one is horribly broken,,,
1577,0,,,,
1578,2,,,,
1579,0,,,,
1580,0,,,,
1581,0,,,,
1582,0,,,,
1583,0,,,,
1584,0,,,,
1585,2,,,,
1586,1,,,,
1587,0,,,,
1588,2,,,,
1589,0,,,,
1590,1,,,,
1591,0,,,,
1592,2,6/16,,,
1593,2,6/16,,,
1594,0,,,,
1595,0,,,,
1596,0,,,,
1597,2,,,,
1598,5,,,,
1599,0,,,,
1601,5,,,,
1629,4,,,,
1677,5,,,,
1698,4,,,,
1702,5,,,,
1753,4,,,,
1957,4,,,,
1975,3,,,,
1993,3,,,,
2011,5,fifth is very light,,,
2056,3,,,,
2114,4,,,,
2128,5,,,,
2138,5,,,,
2150,4,,,,
2190,4,,,,
2220,5,two might be one. very hard to tell,,,
2274,5,,,,
2289,5,,,,
2315,5,,,,
2374,4,,,,
2387,5,,,,
2408,5,hard to tell,,,
2427,4,,,,
2431,5,,,,
2433,4,,,,
2442,4,one breaks into two,,,
2474,5,short,,,
2488,5,,,,
2639,4,short,,,
2683,5,,,,
2699,4,,,,
2707,5,,,,
2734,5,,,,
2854,5,,,,
2922,5,,,,
2951,4,,,,
2964,5,,,,
2974,5,,,,
3095,5,,,,
3112,5,,,,
3171,5,,,,
3187,4,,,,
3207,4,maaaaybe a light fifth track,,,
3213,5,,,,
3386,5,light fifth,,,
3414,5,,,,
3451,5,,,,
3459,5,,,,
3503,4,maybe a short fifth visible from the left perspective,,,
3528,4,,,,
3627,5,,,,
3721,5,,,,
3765,5,two close together,,,
3783,5,light two,,,
3939,5,,,,
3942,4,might be a very light fifth,,,
3990,5,,,,
4076,5,,,,
4127,5,,,,
4137,5,,,,
4237,4,,,,
4476,5,,,,
4494,4,,,,
4515,5,,,,
4521,4,,,,
4535,5,,,,
4544,4,questionable,,,
4566,4,,,,
4607,5,sneaky,,,
4652,5,,,,
4676,5,,,,
4677,,it looks like 6 no joke,,,
4692,5,two very close together,,,
4713,4,iffy,,,
4740,5,,,,
4745,5,,,,
4794,5,,,,
4918,5,two pairs of tracks (and then a fifth),,,
4925,5,,,,
4941,5,,,,
4997,5,,,,
5102,5,,,,
5184,5,,,,
5419,4,unsure-- there may be a very slight fifth,,,
5493,5,,,,
5535,5,,,,
5563,5,,,,
5681,4,,,,
5732,5,,,,
5802,5,,,,
5815,5,,,,
6024,5,,,,
6156,4,two are very light,,,
6252,4,possible very light fifth,,,
6297,5,,,,
6308,4,one could be two together,,,
6314,5,three are short,,,
6595,4,possible very light fifth,,,
6610,5,one breaks into two at the very end,,,
6638,4,could be a very short fifth,,,
